state,district,age_0_5,age_5_17,age_18_greater,total_enrol,share_0_5,share_5_17,share_18_plus,child_to_adult_ratio,age_category,cv_enrol,child_share,cluster
Andhra Pradesh,Guntur,7865,830,34,8729,0.9010195898728377,0.0950853476916027,0.0038950624355596286,255.7352941168949,Child-Heavy,0.6336457874871124,0.9961049375644404,0
Andhra Pradesh,Hyderabad,1893,481,0,2374,0.7973883740522325,0.2026116259477675,0.0,23740000000000.0,Child-Heavy,0.6899652420292738,1.0,0
Andhra Pradesh,Kakinada,447,39,12,498,0.8975903614457831,0.0783132530120482,0.024096385542168676,40.4999999996625,Child-Heavy,0.5356501978845173,0.9759036144578312,4
Andhra Pradesh,Karimnagar,283,63,0,346,0.8179190751445087,0.18208092485549132,0.0,3460000000000.0,Child-Heavy,0.5994483770950644,1.0,4
Andhra Pradesh,Khammam,485,147,0,632,0.7674050632911392,0.23259493670886075,0.0,6320000000000.0,Child-Heavy,0.5800749691207092,1.0,4
Andhra Pradesh,Krishna,5423,482,32,5937,0.9134242883611251,0.08118578406602661,0.00538992757284824,184.53124999942332,Child-Heavy,0.5964039312859096,0.9946100724271517,0
Andhra Pradesh,Kurnool,9923,765,24,10712,0.92634428678118,0.07141523525018671,0.0022404779686333084,445.33333333147783,Child-Heavy,0.5994445100310494,0.9977595220313666,0
Andhra Pradesh,Mahabub Nagar,420,165,0,585,0.717948717948718,0.28205128205128205,0.0,5850000000000.0,Child-Heavy,0.6811777673453551,1.0,4
Andhra Pradesh,Mahbubnagar,175,76,0,251,0.6972111553784861,0.30278884462151395,0.0,2510000000000.0,Child-Heavy,0.6888458442394377,1.0,4
Andhra Pradesh,Medak,562,108,0,670,0.8388059701492537,0.16119402985074627,0.0,6700000000000.0,Child-Heavy,0.6479181383196566,1.0,4
Andhra Pradesh,N. T. R,435,58,23,516,0.8430232558139535,0.1124031007751938,0.044573643410852716,21.434782608602458,Child-Heavy,0.5920357987226438,0.9554263565891473,4
Andhra Pradesh,Nalgonda,469,104,0,573,0.8184991273996509,0.18150087260034903,0.0,5730000000000.0,Child-Heavy,0.6343715733824898,1.0,4
Andhra Pradesh,Nandyal,457,23,4,484,0.9442148760330579,0.047520661157024795,0.008264462809917356,119.999999997,Child-Heavy,0.7393573674280063,0.9917355371900827,4
Andhra Pradesh,Nellore,3912,620,2,4534,0.86281429201588,0.13674459638288486,0.0004411116012351125,2265.9999998867,Child-Heavy,0.552001758592135,0.9995588883987648,0
Andhra Pradesh,Nizamabad,233,32,0,265,0.879245283018868,0.12075471698113208,0.0,2650000000000.0,Child-Heavy,0.6174969474465913,1.0,4
Andhra Pradesh,Palnadu,364,42,13,419,0.8687350835322196,0.10023866348448687,0.031026252983293555,31.230769230528995,Child-Heavy,0.6189569165889625,0.9689737470167065,4
Andhra Pradesh,Parvathipuram Manyam,348,25,7,380,0.9157894736842105,0.06578947368421052,0.018421052631578946,53.28571428495306,Child-Heavy,0.4751201363831591,0.981578947368421,4
Andhra Pradesh,Prakasam,6027,1102,42,7171,0.8404685538976433,0.15367452238181564,0.005856923720541068,169.73809523769108,Child-Heavy,0.5462273232172612,0.994143076279459,0
Andhra Pradesh,Rangareddi,597,159,0,756,0.7896825396825397,0.21031746031746032,0.0,7560000000000.0,Child-Heavy,0.64893854038807,1.0,4
Andhra Pradesh,Spsr Nellore,1167,713,253,2133,0.5471167369901547,0.3342709798406001,0.1186122831692452,7.430830039522755,Child-Heavy,0.8312807422530086,0.8813877168307549,0
Andhra Pradesh,Sri Potti Sriramulu Nellore,393,337,169,899,0.4371523915461624,0.37486095661846497,0.18798665183537264,4.319526627216379,Child-Heavy,0.6229735827455065,0.8120133481646274,3
Andhra Pradesh,Sri Sathya Sai,451,24,9,484,0.9318181818181818,0.049586776859504134,0.01859504132231405,52.77777777719136,Child-Heavy,0.5163480339544408,0.9814049586776858,4
Andhra Pradesh,Srikakulam,3958,125,8,4091,0.9674896113419702,0.030554876558298704,0.001955512099731117,510.3749999936203,Child-Heavy,0.5842276560465897,0.9980444879002689,0
Andhra Pradesh,Tirupati,440,362,126,928,0.47413793103448276,0.3900862068965517,0.13577586206896552,6.365079365074314,Child-Heavy,0.7951346016077504,0.8642241379310345,3
Andhra Pradesh,Visakhapatanam,186,28,12,226,0.8230088495575221,0.12389380530973451,0.05309734513274336,17.833333333184722,Child-Heavy,0.0,0.9469026548672566,4
Andhra Pradesh,Visakhapatnam,6293,358,30,6681,0.9419248615476725,0.053584792695704236,0.00449034575662326,221.69999999926102,Child-Heavy,0.5693220108704431,0.9955096542433768,0
Andhra Pradesh,Vizianagaram,3238,135,3,3376,0.9591232227488151,0.03998815165876777,0.0008886255924170616,1124.3333332958555,Child-Heavy,0.5912763146286312,0.9991113744075829,0
Andhra Pradesh,Warangal,373,102,0,475,0.7852631578947369,0.21473684210526317,0.0,4750000000000.0,Child-Heavy,0.6801071635003576,1.0,4
Andhra Pradesh,West Godavari,4959,305,22,5286,0.9381384790011351,0.05769958380628074,0.004161937192584185,239.2727272716397,Child-Heavy,0.6378108120808897,0.9958380628074158,0
Andhra Pradesh,Y. S. R,395,32,17,444,0.8896396396396397,0.07207207207207207,0.038288288288288286,25.117647058675782,Child-Heavy,0.6192903079841106,0.9617117117117118,4
Arunachal Pradesh,Changlang,407,254,13,674,0.6038575667655787,0.3768545994065282,0.019287833827893175,50.84615384576272,Child-Heavy,1.0884753870428732,0.9807121661721069,4
Arunachal Pradesh,East Kameng,87,78,14,179,0.4860335195530726,0.43575418994413406,0.0782122905027933,11.785714285630101,Child-Heavy,0.9163962461736113,0.9217877094972067,4
Arunachal Pradesh,East Siang,75,81,2,158,0.47468354430379744,0.5126582278481012,0.012658227848101266,77.9999999961,Child-Heavy,0.6704993764502027,0.9873417721518987,4
Arunachal Pradesh,Kra Daadi,13,42,4,59,0.22033898305084745,0.711864406779661,0.06779661016949153,13.74999999965625,Child-Heavy,0.6228834148331384,0.9322033898305084,4
Arunachal Pradesh,Lohit,93,53,1,147,0.6326530612244898,0.36054421768707484,0.006802721088435374,145.9999999854,Child-Heavy,0.8792884328231578,0.9931972789115646,4
Arunachal Pradesh,Longding,139,531,23,693,0.20057720057720058,0.7662337662337663,0.03318903318903319,29.130434782482045,Child-Heavy,2.5273751643513185,0.9668109668109668,1
Arunachal Pradesh,Lower Dibang Valley,53,47,2,102,0.5196078431372549,0.46078431372549017,0.0196078431372549,49.9999999975,Child-Heavy,0.5870221695305866,0.9803921568627452,4
Arunachal Pradesh,Lower Subansiri,50,55,0,105,0.47619047619047616,0.5238095238095238,0.0,1050000000000.0,Child-Heavy,0.5698549761527097,1.0,4
Arunachal Pradesh,Namsai,75,34,0,109,0.6880733944954128,0.3119266055045872,0.0,1090000000000.0,Child-Heavy,0.6619619080109267,1.0,4
Arunachal Pradesh,Papum Pare,196,232,5,433,0.45265588914549654,0.535796766743649,0.011547344110854504,85.599999998288,Child-Heavy,0.6815437751385901,0.9884526558891455,4
Arunachal Pradesh,Siang,22,44,1,67,0.3283582089552239,0.6567164179104478,0.014925373134328358,65.9999999934,Child-Heavy,1.031588770595536,0.9850746268656716,4
Arunachal Pradesh,Tawang,104,42,7,153,0.6797385620915033,0.27450980392156865,0.0457516339869281,20.8571428568449,Child-Heavy,0.8692703826680822,0.954248366013072,4
Arunachal Pradesh,Tirap,51,30,0,81,0.6296296296296297,0.37037037037037035,0.0,810000000000.0,Child-Heavy,0.6742538085909013,1.0,4
Arunachal Pradesh,Upper Subansiri,74,53,12,139,0.5323741007194245,0.381294964028777,0.08633093525179857,10.58333333324514,Child-Heavy,0.7267283911531949,0.9136690647482015,4
Arunachal Pradesh,West Kameng,152,98,18,268,0.5671641791044776,0.3656716417910448,0.06716417910447761,13.88888888881173,Child-Heavy,2.419493075852114,0.9328358208955223,1
Arunachal Pradesh,West Siang,87,65,0,152,0.5723684210526315,0.4276315789473684,0.0,1520000000000.0,Child-Heavy,0.8794929973875331,1.0,4
Assam,Baksa,1760,1008,293,3061,0.5749754982032016,0.3293041489709245,0.09572035282587389,9.447098976105991,Child-Heavy,2.8782561288620467,0.9042796471741261,1
Assam,Barpeta,8260,3044,403,11707,0.7055607756043393,0.2600153754164175,0.034423848979243186,28.049627791556315,Child-Heavy,2.0971036377050027,0.9655761510207568,0
Assam,Biswanath,560,367,65,992,0.5645161290322581,0.3699596774193548,0.0655241935483871,14.26153846151652,Child-Heavy,2.168091729633909,0.934475806451613,1
Assam,Bongaigaon,2115,573,180,2868,0.7374476987447699,0.1997907949790795,0.06276150627615062,14.933333333325038,Child-Heavy,1.5239517600392265,0.9372384937238494,0
Assam,Cachar,10393,4344,1282,16019,0.6487920594294275,0.27117797615331796,0.0800299644172545,11.495319812791614,Child-Heavy,2.962833935995659,0.9199700355827455,1
Assam,Charaideo,600,316,86,1002,0.5988023952095808,0.3153692614770459,0.08582834331337326,10.651162790685289,Child-Heavy,1.7288893029325254,0.9141716566866267,1
Assam,Chirang,1281,927,162,2370,0.540506329113924,0.3911392405063291,0.06835443037974684,13.629629629621217,Child-Heavy,3.463072243943852,0.9316455696202531,1
Assam,Darrang,3859,1732,680,6271,0.6153723489076702,0.2761919948971456,0.10843565619518418,8.222058823528203,Child-Heavy,1.4585965558688012,0.8915643438048158,0
Assam,Dhemaji,3592,1817,748,6157,0.5834010069839207,0.2951112554815657,0.12148773753451356,7.231283422458926,Child-Heavy,3.306151144154715,0.8785122624654864,1
Assam,Dhubri,7172,3304,284,10760,0.666542750929368,0.3070631970260223,0.026394052044609664,36.88732394364899,Child-Heavy,1.3426353368962636,0.9736059479553902,0
Assam,Dibrugarh,3782,1627,1074,6483,0.5833718957272868,0.2509640598488354,0.16566404442387783,5.036312849161542,Child-Heavy,3.1001497154885036,0.8343359555761222,1
Assam,Dima Hasao,119,92,25,236,0.5042372881355932,0.3898305084745763,0.1059322033898305,8.43999999996624,Child-Heavy,2.7718877073418406,0.8940677966101696,1
Assam,Goalpara,5544,2070,426,8040,0.6895522388059702,0.2574626865671642,0.05298507462686567,17.873239436615524,Child-Heavy,2.2609489183715197,0.9470149253731344,1
Assam,Golaghat,5309,3906,1176,10391,0.5109229140602445,0.37590222307766336,0.11317486286209219,7.83588435374083,Child-Heavy,3.034790682135428,0.8868251371379079,1
Assam,Hailakandi,3300,1269,279,4848,0.6806930693069307,0.26175742574257427,0.05754950495049505,16.376344086015635,Child-Heavy,1.7069864951431684,0.942450495049505,0
Assam,Hojai,3003,1268,141,4412,0.6806436990027198,0.2873980054397099,0.031958295557570265,30.29078014182249,Child-Heavy,2.6262529301688025,0.9680417044424297,1
Assam,Jorhat,2766,1082,618,4466,0.619346171070309,0.24227496641289745,0.13837886251679354,6.226537216827471,Child-Heavy,2.5039830263012086,0.8616211374832065,1
Assam,Kamrup,8205,3208,798,12211,0.6719351404471379,0.26271394644173285,0.06535091311112931,14.302005012529536,Child-Heavy,2.5263043496694157,0.9346490868888707,1
Assam,Kamrup Metro,2461,1913,1196,5570,0.44183123877917413,0.3434470377019749,0.214721723518851,3.657190635451199,Child-Heavy,1.6090643189903273,0.785278276481149,3
Assam,Karbi Anglong,2613,2885,771,6269,0.4168128888179933,0.4602009889934599,0.12298612218854682,7.130998702982214,Child-Heavy,2.716897571068251,0.8770138778114531,1
Assam,Karimganj,8194,4537,453,13184,0.6215109223300971,0.34412924757281554,0.03435983009708738,28.103752759375695,Child-Heavy,1.855792214867506,0.9656401699029127,0
Assam,Kokrajhar,2237,1444,388,4069,0.5497665274023101,0.35487834848857214,0.09535512410911771,9.48711340205941,Child-Heavy,2.0325848818568457,0.9046448758908823,1
Assam,Lakhimpur,4383,1789,463,6635,0.6605877920120573,0.2696307460437076,0.06978146194423512,13.330453563712023,Child-Heavy,1.6634421131497918,0.9302185380557649,0
Assam,Majuli,286,118,11,415,0.689156626506024,0.28433734939759037,0.02650602409638554,36.72727272693884,Child-Heavy,3.720019571788416,0.9734939759036144,1
Assam,Marigaon,5443,2672,537,8652,0.6291030975496995,0.308830328247804,0.06206657420249653,15.111731843572604,Child-Heavy,2.076185215307511,0.9379334257975035,1
Assam,Nagaon,6877,2843,252,9972,0.689630966706779,0.2850982751704773,0.02527075812274368,38.571428571413264,Child-Heavy,1.3759756327194652,0.9747292418772564,0
Assam,Nalbari,2482,887,169,3538,0.7015262860373093,0.25070661390616167,0.047767100056529115,19.934911242591756,Child-Heavy,0.8943662948393486,0.9522328999434709,0
Assam,North Cachar Hills,461,405,109,975,0.4728205128205128,0.4153846153846154,0.1117948717948718,7.944954128433078,Child-Heavy,3.3938637583794797,0.8882051282051282,1
Assam,Sibsagar,1453,488,421,2362,0.6151566469093989,0.20660457239627433,0.17823878069432683,4.610451306412207,Child-Heavy,1.5101797378863635,0.8217612193056731,3
Assam,Sivasagar,204,113,65,382,0.5340314136125655,0.29581151832460734,0.17015706806282724,4.876923076915574,Child-Heavy,0.821872803263515,0.8298429319371727,3
Assam,Sonitpur,4667,2476,364,7507,0.6216864260023978,0.32982549620354334,0.04848807779405888,19.623626373620983,Child-Heavy,1.0866842367025513,0.9515119222059412,0
Assam,South Salmara Mankachar,590,229,30,849,0.6949352179034158,0.2697290930506478,0.0353356890459364,27.299999999909,Child-Heavy,2.923180420835816,0.9646643109540636,1
Assam,Sribhumi,42,21,3,66,0.6363636363636364,0.3181818181818182,0.045454545454545456,20.9999999993,Child-Heavy,0.6517364687578399,0.9545454545454546,4
Assam,Tinsukia,3755,2807,972,7534,0.4984072205999469,0.3725776479957526,0.12901513140430051,6.751028806583667,Child-Heavy,2.7613835255234593,0.8709848685956996,1
Assam,Udalguri,2204,1120,318,3642,0.6051619989017024,0.3075233388248215,0.08731466227347612,10.452830188675959,Child-Heavy,2.320382330173095,0.9126853377265239,1
Assam,West Karbi Anglong,370,797,234,1401,0.26409707351891504,0.5688793718772306,0.1670235546038544,4.9871794871773565,Child-Heavy,3.1694966578237125,0.8329764453961457,1
Bihar,Araria,8704,4685,120,13509,0.6443111999407802,0.3468058331482715,0.008882966910948257,111.57499999990702,Child-Heavy,0.8726774548890551,0.9911170330890517,0
Bihar,Arwal,719,2413,32,3164,0.22724399494310998,0.7626422250316056,0.010113780025284451,97.87499999969414,Child-Heavy,0.922054441411878,0.9898862199747156,0
Bihar,Aurangabad,2768,6563,69,9400,0.294468085106383,0.6981914893617022,0.0073404255319148935,135.23188405777503,Child-Heavy,0.6995590585687627,0.9926595744680852,0
Bihar,Banka,5624,4101,73,9798,0.5739946927944478,0.4185548071034905,0.007450500102061645,133.21917808200928,Child-Heavy,0.8715849457154987,0.9925494998979383,0
Bihar,Begusarai,7447,4546,55,12048,0.6181108897742363,0.37732403718459495,0.004565073041168659,218.05454545414898,Child-Heavy,0.7789969511943531,0.9954349269588313,0
Bihar,Bhagalpur,8904,7175,345,16424,0.5421334632245495,0.4368606916707258,0.021005845104724793,46.60579710143577,Child-Heavy,1.8917753828115311,0.9789941548952752,0
Bihar,Bhojpur,3010,9203,104,12317,0.2443776893724121,0.747178696111066,0.008443614516521881,117.43269230757939,Child-Heavy,0.7186042621069701,0.9915563854834781,0
Bihar,Buxar,2339,4321,60,6720,0.3480654761904762,0.6430059523809524,0.008928571428571428,110.999999999815,Child-Heavy,0.7314548995673711,0.9910714285714286,0
Bihar,Darbhanga,9141,5119,62,14322,0.6382488479262672,0.3574221477447284,0.004329004329004329,229.99999999962904,Child-Heavy,0.687429853169178,0.9956709956709957,0
Bihar,East Champaran,9675,14817,717,25209,0.3837915030346305,0.5877662739497799,0.02844222301558967,34.15899581589481,Child-Heavy,1.389780318596434,0.9715577769844104,0
Bihar,Gaya,6262,14361,420,21043,0.2975811433730932,0.6824597253243359,0.019959131302570925,49.102380952369266,Child-Heavy,0.9723984971772575,0.9800408686974291,0
Bihar,Gopalganj,4829,6657,186,11672,0.4137251542152159,0.5703392734749828,0.015935572309801235,61.75268817200981,Child-Heavy,1.4241467401803753,0.9840644276901986,0
Bihar,Jamui,4353,4127,156,8636,0.5040528022232516,0.47788327929597035,0.018063918480778138,54.35897435893952,Child-Heavy,1.1220096457015198,0.981936081519222,0
Bihar,Jehanabad,825,3313,137,4275,0.19298245614035087,0.7749707602339181,0.032046783625731,30.204379562021753,Child-Heavy,1.022912251212314,0.967953216374269,0
Bihar,Kaimur (Bhabua),2727,3361,82,6170,0.4419773095623987,0.5447325769854133,0.013290113452188007,74.24390243893384,Child-Heavy,1.2365421381816335,0.9867098865478121,0
Bihar,Katihar,9986,4144,106,14236,0.7014610845743187,0.29109300365271146,0.007445911772969935,133.30188679232708,Child-Heavy,0.7859946075845545,0.9925540882270301,0
Bihar,Khagaria,3617,3270,60,6947,0.5206563984453721,0.470706779904995,0.008636821649632935,114.78333333314202,Child-Heavy,0.7118516452674466,0.9913631783503671,0
Bihar,Kishanganj,5721,1460,22,7203,0.7942523948354853,0.20269332222684994,0.0030542829376648617,326.40909090760726,Child-Heavy,0.7517418225329181,0.9969457170623353,0
Bihar,Lakhisarai,2004,1964,64,4032,0.49702380952380953,0.4871031746031746,0.015873015873015872,61.999999999903125,Child-Heavy,1.789460950449941,0.9841269841269842,0
Bihar,Madhepura,3999,3769,32,7800,0.5126923076923077,0.48320512820512823,0.0041025641025641026,242.7499999992414,Child-Heavy,0.7951020784734745,0.995897435897436,0
Bihar,Madhubani,11169,10188,648,22005,0.5075664621676892,0.4629856850715746,0.029447852760736196,32.95833333332825,Child-Heavy,1.159274645679984,0.9705521472392638,0
Bihar,Munger,2120,2599,91,4810,0.4407484407484408,0.5403326403326403,0.01891891891891892,51.85714285708587,Child-Heavy,1.1011396433360319,0.981081081081081,0
Bihar,Muzaffarpur,12559,10998,632,24189,0.5192029434867088,0.45466947786183803,0.02612757865145314,37.27373417720929,Child-Heavy,1.74815871720438,0.9738724213485468,0
Bihar,Nalanda,3230,7779,124,11133,0.2901284469594898,0.6987334950148208,0.011138058025689393,88.78225806444453,Child-Heavy,0.8096656907826164,0.9888619419743107,0
Bihar,Nawada,2453,9414,272,12139,0.20207595353818272,0.7755169289068292,0.022407117554988056,43.628676470572195,Child-Heavy,1.303659920522801,0.977592882445012,0
Bihar,Pashchim Champaran,4193,3264,395,7852,0.5340040753948039,0.41569026999490577,0.05030565461029037,18.87848101265345,Child-Heavy,3.9248307253505974,0.9496943453897096,1
Bihar,Patna,6359,13850,603,20812,0.30554487795502594,0.6654814530078801,0.028973669037093985,33.51409618573241,Child-Heavy,1.2852718758400796,0.971026330962906,0
Bihar,Purba Champaran,29,26,0,55,0.5272727272727272,0.4727272727272727,0.0,550000000000.0,Child-Heavy,0.6460901692797967,1.0,4
Bihar,Purbi Champaran,3690,3353,407,7450,0.49530201342281877,0.4500671140939597,0.054630872483221474,17.30466830466405,Child-Heavy,1.0548480121011394,0.9453691275167785,0
Bihar,Purnea,84,47,0,131,0.6412213740458015,0.35877862595419846,0.0,1310000000000.0,Child-Heavy,0.7364467303537836,1.0,4
Bihar,Purnia,9064,5482,170,14716,0.6159282413699375,0.3725197064419679,0.01155205218809459,85.56470588230262,Child-Heavy,1.151627377877512,0.9884479478119055,0
Bihar,Rohtas,2481,4737,69,7287,0.3404693289419514,0.6500617538081515,0.009468917249897077,104.6086956520223,Child-Heavy,0.7982025500324879,0.9905310827501028,0
Bihar,Saharsa,5534,5367,193,11094,0.49882819542094825,0.4837750135208221,0.017396791058229673,56.48186528494483,Child-Heavy,0.9015022485287886,0.9826032089417703,0
Bihar,Samastipur,9817,6716,126,16659,0.5892910738939913,0.4031454469055766,0.007563479200432199,131.21428571418159,Child-Heavy,0.7364424278068903,0.9924365207995678,0
Bihar,Saran,7218,13874,202,21294,0.3389687235841082,0.6515450361604208,0.009486240255471024,104.41584158410673,Child-Heavy,0.6862424554229386,0.990513759744529,0
Bihar,Sheikhpura,919,1371,14,2304,0.3988715277777778,0.5950520833333334,0.006076388888888889,163.5714285702602,Child-Heavy,0.7709877370370497,0.9939236111111112,0
Bihar,Sheohar,1682,966,11,2659,0.6325686348251223,0.36329447160586686,0.004136893569010906,240.7272727250843,Child-Heavy,0.9150521619877644,0.9958631064309891,0
Bihar,Sitamarhi,15325,12089,1203,28617,0.5355208442534158,0.4224412062759898,0.0420379494705944,22.78802992518514,Child-Heavy,2.2429628464608733,0.9579620505294056,0
Bihar,Siwan,5507,7591,132,13230,0.4162509448223734,0.5737717309145881,0.009977324263038548,99.22727272719756,Child-Heavy,0.6230207428783133,0.9900226757369615,0
Bihar,Supaul,4608,3885,135,8628,0.5340751043115438,0.4502781641168289,0.01564673157162726,62.911111111064514,Child-Heavy,0.6709701059265115,0.9843532684283727,0
Bihar,Vaishali,7749,9157,52,16958,0.45695247081023704,0.5399811298502182,0.003066399339544758,325.11538461475936,Child-Heavy,0.6429829251920921,0.9969336006604552,0
Bihar,West Champaran,9751,13090,717,23558,0.4139145937685712,0.5556498853892521,0.030435520842176756,31.856345885630144,Child-Heavy,1.597749139264783,0.9695644791578233,0
Chandigarh,Chandigarh,2206,202,33,2441,0.9037279803359279,0.08275297009422368,0.013519049569848422,72.96969696947585,Child-Heavy,0.6764581657975505,0.9864809504301516,0
Chhattisgarh,Balod,1392,58,4,1454,0.9573590096286108,0.039889958734525444,0.002751031636863824,362.4999999909375,Child-Heavy,0.6890971114795076,0.9972489683631363,4
Chhattisgarh,Baloda Bazar,3701,489,33,4223,0.876391191096377,0.11579445891546294,0.007814349988160076,126.96969696931221,Child-Heavy,0.8149703888468205,0.9921856500118399,0
Chhattisgarh,Balrampur,2937,1136,63,4136,0.7101063829787234,0.2746615087040619,0.0152321083172147,64.65079365069103,Child-Heavy,3.2271566355175456,0.9847678916827853,1
Chhattisgarh,Bastar,4654,1624,6,6284,0.7406110757479313,0.25843411839592617,0.0009548058561425843,1046.3333333158944,Child-Heavy,1.121144948540483,0.9990451941438574,0
Chhattisgarh,Bemetara,2181,268,11,2460,0.8865853658536585,0.10894308943089431,0.004471544715447155,222.63636363433966,Child-Heavy,0.7356279547882137,0.9955284552845529,0
Chhattisgarh,Bijapur,3001,1600,689,5290,0.5672967863894139,0.30245746691871456,0.13024574669187144,6.677793904208029,Child-Heavy,1.7645187196388559,0.8697542533081285,1
Chhattisgarh,Bilaspur,5724,1114,17,6855,0.8350109409190372,0.162509117432531,0.0024799416484318016,402.235294115281,Child-Heavy,0.7316482984413967,0.9975200583515682,0
Chhattisgarh,Dakshin Bastar Dantewada,550,100,9,659,0.834597875569044,0.15174506828528073,0.013657056145675266,72.22222222141976,Child-Heavy,1.4824288717341871,0.9863429438543247,4
Chhattisgarh,Dantewada,306,66,0,372,0.8225806451612904,0.1774193548387097,0.0,3720000000000.0,Child-Heavy,1.7555904677429022,1.0,4
Chhattisgarh,Dhamtari,1749,83,3,1835,0.953133514986376,0.045231607629427795,0.0016348773841961854,610.6666666463111,Child-Heavy,0.7441897740388176,0.9983651226158038,0
Chhattisgarh,Durg,2875,485,45,3405,0.8443465491923642,0.14243759177679882,0.013215859030837005,74.66666666650073,Child-Heavy,1.1829443289417478,0.986784140969163,0
Chhattisgarh,Gariyaband,1036,184,6,1226,0.8450244698205547,0.1500815660685155,0.004893964110929853,203.33333332994445,Child-Heavy,0.652484122231283,0.9951060358890702,4
Chhattisgarh,Gaurela-Pendra-Marwahi,45,8,3,56,0.8035714285714286,0.14285714285714285,0.05357142857142857,17.666666666077777,Child-Heavy,0.5805720091105524,0.9464285714285714,4
Chhattisgarh,Gaurella Pendra Marwahi,575,290,59,924,0.6222943722943723,0.31385281385281383,0.06385281385281386,14.661016949127692,Child-Heavy,0.35814499306843356,0.9361471861471862,4
Chhattisgarh,Janjgir-Champa,3383,493,1,3877,0.8725818932164044,0.12716017539334537,0.00025793139025019347,3875.9999996124,Child-Heavy,0.6346283404490398,0.9997420686097498,0
Chhattisgarh,Jashpur,1497,783,1,2281,0.6562911003945638,0.3432704953967558,0.00043840420868040335,2279.999999772,Child-Heavy,0.656818703620993,0.9995615957913196,0
Chhattisgarh,Kabeerdham,506,56,2,564,0.8971631205673759,0.09929078014184398,0.0035460992907801418,280.99999998595,Child-Heavy,0.9075326094442892,0.9964539007092199,4
Chhattisgarh,Kanker,1031,194,2,1227,0.8402607986960066,0.15810920945395274,0.0016299918500407497,612.499999969375,Child-Heavy,0.6705905832878487,0.9983700081499594,4
Chhattisgarh,Kawardha,882,114,1,997,0.8846539618856569,0.11434302908726178,0.0010030090270812437,995.9999999004,Child-Heavy,0.8475029166386496,0.9989969909729187,4
Chhattisgarh,Khairagarh Chhuikhadan Gandai,88,36,0,124,0.7096774193548387,0.2903225806451613,0.0,1240000000000.0,Child-Heavy,0.880130184178047,1.0,4
