state,district,age_0_5,age_5_17,age_18_greater,total_enrol,child_enrol_share,bio_5_17,bio_17_plus,total_bio,demo_5_17,demo_17_plus,total_demo,total_updates,child_updates,child_update_share,child_gap,update_intensity
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,618.0,30.0,17.0,665.0,0.9744360902255639,4352.0,2954.0,7306.0,1752.0,12404.0,14156.0,21462.0,6104.0,0.28440965427266796,-0.6900264359528959,32.27368421052632
Andhra Pradesh,East Godavari,7161.0,507.0,10.0,7678.0,0.9986975774941391,204904.0,96946.0,301850.0,19090.0,136935.0,156025.0,457875.0,223994.0,0.4892033852033852,-0.5094941922907539,59.634670487106014
Andhra Pradesh,Eluru,568.0,45.0,16.0,629.0,0.9745627980922098,4288.0,3942.0,8230.0,2346.0,15238.0,17584.0,25814.0,6634.0,0.25699232974355,-0.7175704683486598,41.03974562798092
Andhra Pradesh,Guntur,8769.0,925.0,35.0,9729.0,0.9964025079658753,187665.0,104029.0,291694.0,22026.0,155195.0,177221.0,468915.0,209691.0,0.44718339144621094,-0.5492191165196643,48.19765649090348
Andhra Pradesh,Hyderabad,3831.0,1008.0,1.0,4840.0,0.9997933884297521,23363.0,82381.0,105744.0,4382.0,31824.0,36206.0,141950.0,27745.0,0.19545614653046847,-0.8043372418992836,29.328512396694215
Andhra Pradesh,K.V.Rangareddy,55.0,14.0,0.0,69.0,1.0,168.0,605.0,773.0,48.0,470.0,518.0,1291.0,216.0,0.16731216111541442,-0.8326878388845855,18.71014492753623
Andhra Pradesh,K.v. Rangareddy,15.0,4.0,0.0,19.0,1.0,216.0,188.0,404.0,32.0,134.0,166.0,570.0,248.0,0.43508771929824563,-0.5649122807017544,30.0
Andhra Pradesh,Kakinada,858.0,84.0,27.0,969.0,0.9721362229102167,7141.0,4557.0,11698.0,3621.0,24648.0,28269.0,39967.0,10762.0,0.26927214952335676,-0.70286407338686,41.24561403508772
Andhra Pradesh,Karim Nagar,71.0,11.0,0.0,82.0,1.0,387.0,1310.0,1697.0,82.0,1069.0,1151.0,2848.0,469.0,0.16467696629213482,-0.8353230337078652,34.73170731707317
Andhra Pradesh,Karimnagar,552.0,107.0,0.0,659.0,1.0,4338.0,12789.0,17127.0,967.0,9364.0,10331.0,27458.0,5305.0,0.19320416636317284,-0.8067958336368272,41.66616084977238
Andhra Pradesh,Khammam,869.0,264.0,0.0,1133.0,1.0,15536.0,25422.0,40958.0,4648.0,27720.0,32368.0,73326.0,20184.0,0.27526389002536616,-0.7247361099746339,64.71844660194175
Andhra Pradesh,Krishna,6163.0,540.0,34.0,6737.0,0.9949532432833605,146788.0,86459.0,233247.0,13459.0,98390.0,111849.0,345096.0,160247.0,0.4643548461877275,-0.5305983970956331,51.223986937806146
Andhra Pradesh,Kurnool,10923.0,823.0,24.0,11770.0,0.9979609175870858,242992.0,107641.0,350633.0,29378.0,148267.0,177645.0,528278.0,272370.0,0.5155808116181253,-0.4823801059689605,44.883432455395074
Andhra Pradesh,Mahabub Nagar,1079.0,432.0,0.0,1511.0,1.0,822.0,13030.0,13852.0,444.0,12369.0,12813.0,26665.0,1266.0,0.04747796737296081,-0.9525220326270392,17.647253474520184
Andhra Pradesh,Mahabubnagar,7.0,0.0,0.0,7.0,1.0,39.0,81.0,120.0,13.0,68.0,81.0,201.0,52.0,0.25870646766169153,-0.7412935323383085,28.714285714285715
Andhra Pradesh,Mahbubnagar,511.0,211.0,0.0,722.0,1.0,3060.0,11679.0,14739.0,1254.0,8643.0,9897.0,24636.0,4314.0,0.17510959571358986,-0.8248904042864101,34.121883656509695
Andhra Pradesh,Medak,1176.0,229.0,1.0,1406.0,0.9992887624466572,6281.0,16164.0,22445.0,1711.0,11252.0,12963.0,35408.0,7992.0,0.22571170356981474,-0.7735770588768425,25.183499288762448
Andhra Pradesh,N. T. R,790.0,97.0,46.0,933.0,0.9506966773847803,6788.0,6771.0,13559.0,4718.0,33352.0,38070.0,51629.0,11506.0,0.22285924577272462,-0.7278374316120556,55.336548767416936
Andhra Pradesh,Nalgonda,951.0,216.0,0.0,1167.0,1.0,5640.0,27013.0,32653.0,1623.0,28221.0,29844.0,62497.0,7263.0,0.11621357825175609,-0.883786421748244,53.55355612682091
Andhra Pradesh,Nandyal,860.0,39.0,6.0,905.0,0.9933701657458563,6337.0,4303.0,10640.0,4798.0,22587.0,27385.0,38025.0,11135.0,0.2928336620644313,-0.7005365036814251,42.01657458563536
Andhra Pradesh,Nellore,4611.0,754.0,2.0,5367.0,0.9996273523383641,99065.0,59412.0,158477.0,7111.0,61012.0,68123.0,226600.0,106176.0,0.4685613415710503,-0.5310660107673137,42.220980063350105
Andhra Pradesh,Nizamabad,453.0,71.0,0.0,524.0,1.0,3452.0,7527.0,10979.0,728.0,4813.0,5541.0,16520.0,4180.0,0.25302663438256656,-0.7469733656174334,31.52671755725191
Andhra Pradesh,Palnadu,759.0,76.0,25.0,860.0,0.9709302325581395,6007.0,4046.0,10053.0,3955.0,21540.0,25495.0,35548.0,9962.0,0.2802408011702487,-0.6906894313878909,41.334883720930236
Andhra Pradesh,Parvathipuram Manyam,464.0,36.0,8.0,508.0,0.984251968503937,5090.0,5540.0,10630.0,1511.0,7880.0,9391.0,20021.0,6601.0,0.32970381099845164,-0.6545481575054855,39.411417322834644
Andhra Pradesh,Prakasam,6405.0,1157.0,61.0,7623.0,0.9919979010888101,136533.0,75766.0,212299.0,15519.0,104979.0,120498.0,332797.0,152052.0,0.45689113784078583,-0.5351067632480243,43.656959202413745
Andhra Pradesh,Rangareddi,1478.0,405.0,0.0,1883.0,1.0,13261.0,41326.0,54587.0,3569.0,18676.0,22245.0,76832.0,16830.0,0.21904935443565182,-0.7809506455643482,40.80297397769517
Andhra Pradesh,Spsr Nellore,1167.0,713.0,303.0,2183.0,0.8612001832340815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8612001832340815,0.0
Andhra Pradesh,Sri Potti Sriramulu Nellore,689.0,622.0,303.0,1614.0,0.8122676579925651,6668.0,3467.0,10135.0,3045.0,19020.0,22065.0,32200.0,9713.0,0.30164596273291927,-0.5106216952596458,19.950433705080545
Andhra Pradesh,Sri Sathya Sai,879.0,40.0,19.0,938.0,0.9797441364605544,5704.0,4711.0,10415.0,3953.0,18154.0,22107.0,32522.0,9657.0,0.2969374577209274,-0.682806678739627,34.67164179104478
Andhra Pradesh,Srikakulam,4157.0,135.0,8.0,4300.0,0.998139534883721,125178.0,67429.0,192607.0,24315.0,111384.0,135699.0,328306.0,149493.0,0.455346536462934,-0.542792998420787,76.35023255813954
Andhra Pradesh,Tirupati,802.0,689.0,228.0,1719.0,0.8673647469458988,5633.0,4765.0,10398.0,4768.0,28462.0,33230.0,43628.0,10401.0,0.23840194370587697,-0.6289628032400219,25.379872018615472
Andhra Pradesh,Visakhapatanam,186.0,28.0,12.0,226.0,0.9469026548672567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9469026548672567,0.0
Andhra Pradesh,Visakhapatnam,7688.0,460.0,30.0,8178.0,0.9963316214233309,195385.0,115918.0,311303.0,19864.0,137329.0,157193.0,468496.0,215249.0,0.45944682558655786,-0.5368847958367731,57.28735632183908
Andhra Pradesh,Vizianagaram,3695.0,158.0,3.0,3856.0,0.9992219917012448,101296.0,58702.0,159998.0,11069.0,67818.0,78887.0,238885.0,112365.0,0.47037277351026646,-0.5288492181909783,61.95150414937759
Andhra Pradesh,Warangal,858.0,201.0,0.0,1059.0,1.0,13746.0,38012.0,51758.0,3605.0,31161.0,34766.0,86524.0,17351.0,0.20053395589662984,-0.7994660441033702,81.7034938621341
Andhra Pradesh,West Godavari,5568.0,343.0,24.0,5935.0,0.9959561920808762,139979.0,80435.0,220414.0,14258.0,112548.0,126806.0,347220.0,154237.0,0.44420540291457866,-0.5517507891662975,58.503791069924176
Andhra Pradesh,Y. S. R,738.0,52.0,33.0,823.0,0.959902794653706,5183.0,3425.0,8608.0,4161.0,24025.0,28186.0,36794.0,9344.0,0.2539544490949611,-0.7059483455587449,44.70716889428918
Arunachal Pradesh,Anjaw,23.0,11.0,3.0,37.0,0.918918918918919,675.0,496.0,1171.0,128.0,632.0,760.0,1931.0,803.0,0.4158467115484205,-0.5030722073704985,52.189189189189186
Arunachal Pradesh,Changlang,486.0,304.0,13.0,803.0,0.9838107098381071,5436.0,2747.0,8183.0,690.0,4969.0,5659.0,13842.0,6126.0,0.44256610316428263,-0.5412446066738246,17.23785803237858
Arunachal Pradesh,Dibang Valley,7.0,3.0,0.0,10.0,1.0,313.0,158.0,471.0,28.0,132.0,160.0,631.0,341.0,0.5404120443740095,-0.45958795562599053,63.1
Arunachal Pradesh,East Kameng,88.0,79.0,14.0,181.0,0.9226519337016574,2690.0,1607.0,4297.0,292.0,1130.0,1422.0,5719.0,2982.0,0.5214198286413708,-0.4012321050602866,31.596685082872927
Arunachal Pradesh,East Siang,80.0,86.0,2.0,168.0,0.9880952380952381,2242.0,1079.0,3321.0,423.0,2080.0,2503.0,5824.0,2665.0,0.4575892857142857,-0.5305059523809524,34.666666666666664
Arunachal Pradesh,Kamle,3.0,25.0,2.0,30.0,0.9333333333333333,57.0,86.0,143.0,64.0,254.0,318.0,461.0,121.0,0.26247288503253796,-0.6708604483007954,15.366666666666667
Arunachal Pradesh,Kra Daadi,18.0,59.0,4.0,81.0,0.9506172839506173,717.0,523.0,1240.0,145.0,369.0,514.0,1754.0,862.0,0.49144811858608894,-0.45916916536452834,21.65432098765432
Arunachal Pradesh,Kurung Kumey,19.0,44.0,12.0,75.0,0.84,1299.0,2091.0,3390.0,106.0,229.0,335.0,3725.0,1405.0,0.37718120805369126,-0.4628187919463087,49.666666666666664
Arunachal Pradesh,Leparada,0.0,2.0,1.0,3.0,0.6666666666666666,34.0,2.0,36.0,8.0,15.0,23.0,59.0,42.0,0.711864406779661,0.04519774011299438,19.666666666666668
Arunachal Pradesh,Lohit,102.0,63.0,1.0,166.0,0.9939759036144579,1796.0,2095.0,3891.0,212.0,1654.0,1866.0,5757.0,2008.0,0.3487927740142435,-0.6451831296002144,34.68072289156626
Arunachal Pradesh,Longding,141.0,719.0,37.0,897.0,0.9587513935340022,1611.0,988.0,2599.0,263.0,1222.0,1485.0,4084.0,1874.0,0.45886385896180215,-0.49988753457220003,4.552954292084727
Arunachal Pradesh,Lower Dibang Valley,58.0,49.0,2.0,109.0,0.981651376146789,1373.0,875.0,2248.0,186.0,971.0,1157.0,3405.0,1559.0,0.457856093979442,-0.523795282167347,31.238532110091743
Arunachal Pradesh,Lower Siang,10.0,18.0,3.0,31.0,0.9032258064516129,359.0,54.0,413.0,70.0,269.0,339.0,752.0,429.0,0.5704787234042553,-0.33274708304735756,24.258064516129032
Arunachal Pradesh,Lower Subansiri,50.0,55.0,0.0,105.0,1.0,1530.0,1150.0,2680.0,198.0,1323.0,1521.0,4201.0,1728.0,0.4113306355629612,-0.5886693644370389,40.00952380952381
Arunachal Pradesh,Namsai,95.0,54.0,1.0,150.0,0.9933333333333333,3561.0,2442.0,6003.0,221.0,1914.0,2135.0,8138.0,3782.0,0.4647333497173753,-0.5285999836159581,54.25333333333333
Arunachal Pradesh,Pakke Kessang,2.0,1.0,1.0,4.0,0.75,30.0,44.0,74.0,14.0,73.0,87.0,161.0,44.0,0.2732919254658385,-0.4767080745341615,40.25
Arunachal Pradesh,Papum Pare,201.0,241.0,5.0,447.0,0.9888143176733781,4835.0,4424.0,9259.0,770.0,4152.0,4922.0,14181.0,5605.0,0.395247161695226,-0.5935671559781521,31.7248322147651
Arunachal Pradesh,Shi-yomi,8.0,22.0,5.0,35.0,0.8571428571428571,210.0,319.0,529.0,43.0,195.0,238.0,767.0,253.0,0.32985658409387225,-0.5272862730489849,21.914285714285715
Arunachal Pradesh,Siang,39.0,60.0,4.0,103.0,0.9611650485436893,880.0,429.0,1309.0,175.0,602.0,777.0,2086.0,1055.0,0.5057526366251198,-0.4554124119185695,20.25242718446602
Arunachal Pradesh,Tawang,104.0,43.0,7.0,154.0,0.9545454545454546,1866.0,598.0,2464.0,209.0,742.0,951.0,3415.0,2075.0,0.6076134699853587,-0.3469319845600959,22.175324675324674
Arunachal Pradesh,Tirap,59.0,39.0,1.0,99.0,0.98989898989899,1371.0,522.0,1893.0,96.0,894.0,990.0,2883.0,1467.0,0.5088449531737773,-0.48105403672521263,29.12121212121212
Arunachal Pradesh,Upper Siang,21.0,21.0,1.0,43.0,0.9767441860465116,1235.0,561.0,1796.0,199.0,1122.0,1321.0,3117.0,1434.0,0.4600577478344562,-0.5166864382120554,72.48837209302326
Arunachal Pradesh,Upper Subansiri,76.0,55.0,12.0,143.0,0.916083916083916,2462.0,1704.0,4166.0,347.0,1202.0,1549.0,5715.0,2809.0,0.4915135608048994,-0.42457035527901665,39.96503496503497
Arunachal Pradesh,West Kameng,157.0,103.0,18.0,278.0,0.935251798561151,2967.0,3205.0,6172.0,375.0,1484.0,1859.0,8031.0,3342.0,0.4161374673141576,-0.5191143312469935,28.888489208633093
Arunachal Pradesh,West Siang,110.0,80.0,2.0,192.0,0.9895833333333334,3345.0,1301.0,4646.0,521.0,3031.0,3552.0,8198.0,3866.0,0.4715784337643328,-0.5180048995690005,42.697916666666664
Assam,Bajali,19.0,8.0,2.0,29.0,0.9310344827586207,6.0,17.0,23.0,57.0,787.0,844.0,867.0,63.0,0.0726643598615917,-0.858370122897029,29.896551724137932
Assam,Baksa,2120.0,1179.0,400.0,3699.0,0.8918626655852934,11602.0,5853.0,17455.0,1346.0,15666.0,17012.0,34467.0,12948.0,0.3756636783009836,-0.5161989872843098,9.317923763179238
Assam,Barpeta,10545.0,3306.0,532.0,14383.0,0.9630118890356671,66392.0,29029.0,95421.0,4978.0,54164.0,59142.0,154563.0,71370.0,0.46175345975427495,-0.5012584292813922,10.74622818605298
Assam,Biswanath,789.0,464.0,76.0,1329.0,0.9428141459744168,6159.0,3389.0,9548.0,844.0,10181.0,11025.0,20573.0,7003.0,0.34039760851601614,-0.6024165374584007,15.480060195635817
Assam,Bongaigaon,2324.0,626.0,225.0,3175.0,0.9291338582677166,24633.0,11975.0,36608.0,3318.0,35806.0,39124.0,75732.0,27951.0,0.36907780066550466,-0.5600560576022119,23.85259842519685
Assam,Cachar,11474.0,4513.0,1527.0,17514.0,0.9128126070572113,42167.0,23978.0,66145.0,5078.0,52941.0,58019.0,124164.0,47245.0,0.38050481621081794,-0.5323077908463933,7.089414182939363
Assam,Charaideo,659.0,336.0,194.0,1189.0,0.8368376787216149,6096.0,2197.0,8293.0,763.0,9150.0,9913.0,18206.0,6859.0,0.3767439305723388,-0.46009374814927606,15.312026913372582
Assam,Chirang,2013.0,1071.0,264.0,3348.0,0.921146953405018,18078.0,9009.0,27087.0,1175.0,12222.0,13397.0,40484.0,19253.0,0.47557059579092975,-0.4455763576140882,12.09199522102748
Assam,Darrang,4390.0,1914.0,1291.0,7595.0,0.830019749835418,16240.0,10025.0,26265.0,3187.0,25132.0,28319.0,54584.0,19427.0,0.3559101568225121,-0.47410959301290595,7.186833443054641
Assam,Dhemaji,3864.0,1846.0,1191.0,6901.0,0.8274163164758731,12494.0,8236.0,20730.0,1927.0,20422.0,22349.0,43079.0,14421.0,0.33475707421249334,-0.49265924226337976,6.242428633531373
Assam,Dhubri,8432.0,3849.0,365.0,12646.0,0.9711371184564289,40373.0,19102.0,59475.0,7185.0,73614.0,80799.0,140274.0,47558.0,0.3390364572194419,-0.632100661236987,11.092361220939427
Assam,Dibrugarh,3895.0,1675.0,1492.0,7062.0,0.7887284055508355,14970.0,11765.0,26735.0,1874.0,24645.0,26519.0,53254.0,16844.0,0.31629548954069175,-0.4724329160101437,7.540923251203625
Assam,Dima Hasao,119.0,103.0,28.0,250.0,0.888,11.0,14.0,25.0,16.0,264.0,280.0,305.0,27.0,0.08852459016393442,-0.7994754098360656,1.22
Assam,Goalpara,6881.0,2220.0,797.0,9898.0,0.9194786825621337,17021.0,10603.0,27624.0,4325.0,36242.0,40567.0,68191.0,21346.0,0.31303251162176826,-0.6064461709403655,6.889371590220247
Assam,Golaghat,5537.0,4047.0,1921.0,11505.0,0.8330291177748805,12369.0,7785.0,20154.0,1998.0,25926.0,27924.0,48078.0,14367.0,0.2988269062772994,-0.5342022114975811,4.178878748370273
Assam,Hailakandi,3826.0,1441.0,311.0,5578.0,0.9442452491932593,14201.0,6922.0,21123.0,2253.0,19049.0,21302.0,42425.0,16454.0,0.38783736004714203,-0.5564078891461173,7.605772678379347
Assam,Hojai,5288.0,1607.0,155.0,7050.0,0.9780141843971631,15271.0,13731.0,29002.0,2371.0,22937.0,25308.0,54310.0,17642.0,0.3248388878659547,-0.6531752965312084,7.70354609929078
Assam,Jorhat,2905.0,1122.0,860.0,4887.0,0.8240229179455699,10704.0,5575.0,16279.0,1266.0,18522.0,19788.0,36067.0,11970.0,0.33188233010785484,-0.4921405878377151,7.380192347043176
Assam,Kamrup,9311.0,3370.0,985.0,13666.0,0.9279233133323577,30056.0,13196.0,43252.0,3266.0,41318.0,44584.0,87836.0,33322.0,0.3793660913520652,-0.5485572219802924,6.427337918922874
Assam,Kamrup Metro,2654.0,2055.0,1337.0,6046.0,0.7788620575587165,14584.0,12178.0,26762.0,2308.0,23883.0,26191.0,52953.0,16892.0,0.31899986780730083,-0.4598621897514157,8.75835262983791
Assam,Karbi Anglong,2918.0,4107.0,1082.0,8107.0,0.8665350931293944,25507.0,13699.0,39206.0,2438.0,28683.0,31121.0,70327.0,27945.0,0.39735805593868645,-0.4691770371907079,8.674848896015789
Assam,Karimganj,9336.0,4903.0,594.0,14833.0,0.9599541562731747,24232.0,11414.0,35646.0,4135.0,37279.0,41414.0,77060.0,28367.0,0.3681157539579548,-0.5918384023152199,5.195172925234275
Assam,Kokrajhar,2519.0,1572.0,518.0,4609.0,0.8876111954870904,18300.0,10559.0,28859.0,1928.0,20741.0,22669.0,51528.0,20228.0,0.3925632665735134,-0.495047928913577,11.179865480581471
Assam,Lakhimpur,4726.0,1825.0,648.0,7199.0,0.9099874982636478,17189.0,12583.0,29772.0,2993.0,32419.0,35412.0,65184.0,20182.0,0.30961585665193914,-0.6003716416117086,9.054590915404917
Assam,Majuli,347.0,157.0,11.0,515.0,0.9786407766990292,2139.0,1243.0,3382.0,290.0,2991.0,3281.0,6663.0,2429.0,0.36455050277652706,-0.614090273922502,12.937864077669904
Assam,Marigaon,6735.0,2928.0,824.0,10487.0,0.9214265280823877,19361.0,14575.0,33936.0,4499.0,39311.0,43810.0,77746.0,23860.0,0.3068968178427186,-0.6145297102396691,7.413559645275103
Assam,Nagaon,9002.0,3478.0,393.0,12873.0,0.9694709857841994,44214.0,73665.0,117879.0,7120.0,90257.0,97377.0,215256.0,51334.0,0.2384788345040324,-0.730992151280167,16.721510137497088
Assam,Nalbari,2709.0,977.0,195.0,3881.0,0.9497552177273898,14657.0,5594.0,20251.0,2083.0,18878.0,20961.0,41212.0,16740.0,0.4061923711540328,-0.5435628465733571,10.61891265137851
Assam,North Cachar Hills,501.0,420.0,137.0,1058.0,0.8705103969754253,2782.0,1242.0,4024.0,300.0,3299.0,3599.0,7623.0,3082.0,0.40430276793913156,-0.46620762903629376,7.205103969754253
Assam,Sibsagar,1561.0,514.0,662.0,2737.0,0.7581293386919985,8287.0,3093.0,11380.0,1031.0,12039.0,13070.0,24450.0,9318.0,0.3811042944785276,-0.3770250442134709,8.933138472780417
Assam,Sivasagar,204.0,113.0,105.0,422.0,0.7511848341232228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7511848341232228,0.0
Assam,Sonitpur,5501.0,2723.0,973.0,9197.0,0.8942046319451995,17454.0,12663.0,30117.0,3162.0,40414.0,43576.0,73693.0,20616.0,0.27975520062963916,-0.6144494313155604,8.012721539632489
Assam,South Salmara Mankachar,1062.0,364.0,46.0,1472.0,0.96875,2855.0,1993.0,4848.0,1188.0,19859.0,21047.0,25895.0,4043.0,0.15613052712878933,-0.8126194728712106,17.59171195652174
Assam,Sribhumi,115.0,43.0,11.0,169.0,0.9349112426035503,42.0,315.0,357.0,192.0,4895.0,5087.0,5444.0,234.0,0.04298310066127847,-0.8919281419422718,32.21301775147929
Assam,Tamulpur District,22.0,33.0,0.0,55.0,1.0,17.0,53.0,70.0,54.0,1214.0,1268.0,1338.0,71.0,0.053064275037369206,-0.9469357249626308,24.327272727272728
Assam,Tinsukia,3884.0,2867.0,1633.0,8384.0,0.8052242366412213,12082.0,7167.0,19249.0,2000.0,33249.0,35249.0,54498.0,14082.0,0.25839480347902677,-0.5468294331621946,6.500238549618321
Assam,Udalguri,2658.0,1322.0,585.0,4565.0,0.8718510405257394,12995.0,9353.0,22348.0,1380.0,18400.0,19780.0,42128.0,14375.0,0.34122199012533233,-0.530629050400407,9.228477546549836
Assam,West Karbi Anglong,390.0,987.0,507.0,1884.0,0.7308917197452229,1084.0,2308.0,3392.0,152.0,1299.0,1451.0,4843.0,1236.0,0.25521371051001446,-0.4756780092352085,2.5705944798301488
BALANAGAR,IDPL COLONY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0
Bihar,Araria,9939.0,5515.0,125.0,15579.0,0.9919763784581809,72533.0,82911.0,155444.0,9001.0,146314.0,155315.0,310759.0,81534.0,0.26237051863341043,-0.7296058598247704,19.947300853713333
Bihar,Arwal,812.0,3020.0,34.0,3866.0,0.9912053802379721,12094.0,18610.0,30704.0,2232.0,25538.0,27770.0,58474.0,14326.0,0.2449977767896843,-0.7462076034482878,15.125193998965338
Bihar,Aurangabad,3001.0,7096.0,73.0,10170.0,0.9928220255653883,46556.0,49874.0,96430.0,10545.0,95295.0,105840.0,202270.0,57101.0,0.28230088495575223,-0.7105211406096361,19.88888888888889
Bihar,Aurangabad(BH),5.0,3.0,0.0,8.0,1.0,1.0,9.0,10.0,2.0,22.0,24.0,34.0,3.0,0.08823529411764706,-0.9117647058823529,4.25
Bihar,Aurangabad(bh),44.0,61.0,0.0,105.0,1.0,34.0,188.0,222.0,24.0,646.0,670.0,892.0,58.0,0.06502242152466367,-0.9349775784753364,8.495238095238095
Bihar,Banka,6198.0,4797.0,79.0,11074.0,0.9928661730178797,49854.0,48373.0,98227.0,7434.0,90686.0,98120.0,196347.0,57288.0,0.2917691637763755,-0.7010970092415042,17.730449702004695
Bihar,Begusarai,8106.0,5045.0,58.0,13209.0,0.9956090544325839,72549.0,74659.0,147208.0,13270.0,119720.0,132990.0,280198.0,85819.0,0.3062798449667735,-0.6893292094658103,21.21265803618745
Bihar,Bhabua,14.0,17.0,0.0,31.0,1.0,4.0,29.0,33.0,5.0,127.0,132.0,165.0,9.0,0.05454545454545454,-0.9454545454545454,5.32258064516129
Bihar,Bhagalpur,10456.0,10229.0,377.0,21062.0,0.9821004652929446,72409.0,75905.0,148314.0,15385.0,139641.0,155026.0,303340.0,87794.0,0.2894244082547636,-0.6926760570381809,14.402241002753774
Bihar,Bhojpur,3136.0,10115.0,106.0,13357.0,0.9920640862469118,39485.0,57511.0,96996.0,10707.0,131634.0,142341.0,239337.0,50192.0,0.20971266456920576,-0.782351421677706,17.91846971625365
Bihar,Buxar,2528.0,4648.0,64.0,7240.0,0.9911602209944751,24831.0,32197.0,57028.0,7052.0,66850.0,73902.0,130930.0,31883.0,0.2435118001985794,-0.7476484207958957,18.084254143646408
Bihar,Darbhanga,10017.0,5677.0,71.0,15765.0,0.9954963526799873,93323.0,117057.0,210380.0,12315.0,141613.0,153928.0,364308.0,105638.0,0.28996892739110863,-0.7055274252888786,23.108658420551855
Bihar,East Champaran,10147.0,18371.0,805.0,29323.0,0.9725471472905228,95935.0,116199.0,212134.0,18227.0,229801.0,248028.0,460162.0,114162.0,0.24809088973013851,-0.7244562575603843,15.69286907888006
