date,state,district,age_0_5,age_5_17,age_18_greater,year,month,bio_age_5_17,bio_age_17_,demo_age_5_17,demo_age_17_,total_enrolments,total_bio_updates,total_demo_updates,total_updates,update_intensity,bio_intensity,demo_intensity,updates_per_1000,bio_share,demo_share,young_enrol_share,child_enrol_share,adult_enrol_share,child_update_share,update_intensity_zscore,bio_intensity_zscore,demo_intensity_zscore,total_enrolments_mom,total_enrolments_roll3,total_updates_mom,total_updates_roll3,update_intensity_mom,update_intensity_roll3,national_percentile,state_percentile,anomaly_type
2025-11-12,Arunachal Pradesh,Anjaw,0.0,1.0,0.0,2025,11,5.0,1.0,0.0,0.0,1.0,6.0,0.0,6.0,6.0,6.0,0.0,6000.0,1.0,0.0,0.0,1.0,0.0,0.8333333333333334,3.9336707548959615,6.13166422801789,-0.07590768706006815,inf,0.3333333333333333,-86.04651162790698,26.0,inf,2.0,99.18454753024265,95.14428412874584,High Spike
2025-11-19,Arunachal Pradesh,Anjaw,1.0,0.0,3.0,2025,11,21.0,8.0,2.0,6.0,4.0,29.0,8.0,37.0,9.25,7.25,2.0,9250.0,0.7837837837837838,0.21621621621621623,0.25,0.0,0.75,0.6216216216216216,6.124537398208065,7.428577819549706,1.9610103552440385,inf,1.3333333333333333,37.037037037037045,26.0,inf,3.0833333333333335,99.58329196980226,96.67036625971143,High Spike
2025-12-24,Arunachal Pradesh,Anjaw,1.0,0.0,0.0,2025,12,0.0,0.0,1.0,4.0,1.0,0.0,5.0,5.0,5.0,0.0,5.0,5000.0,0.0,1.0,1.0,0.0,0.0,0.2,3.2595579415691605,-0.09352101133482975,5.0163874187002,inf,0.3333333333333333,-16.666666666666664,4.0,inf,1.6666666666666667,98.97465715541816,94.40899001109878,High Spike
2025-09-02,Arunachal Pradesh,Changlang,32.0,8.0,0.0,10125,45,57.0,41.0,24.0,196.0,40.0,98.0,220.0,318.0,7.95,2.45,5.5,7950.0,0.3081761006289308,0.6918238993710691,0.8,0.2,0.0,0.25471698113207547,5.248190740883223,2.448429628067531,5.525616929276226,inf,13.333333333333334,22.307692307692317,213.0,inf,2.65,99.45352866374522,96.11542730299666,High Spike
2025-10-28,Arunachal Pradesh,Changlang,1.0,1.0,0.0,4050,20,0.0,0.0,2.0,12.0,2.0,0.0,14.0,14.0,7.0,0.0,7.0,7000.0,0.0,1.0,0.5,0.5,0.0,0.14285714285714285,4.607783568222763,-0.09352101133482975,7.053305461004306,inf,0.6666666666666666,-75.0,34.333333333333336,inf,2.3333333333333335,99.34645620902056,95.71309655937846,High Spike
2025-09-01,Arunachal Pradesh,East Kameng,2.0,1.0,0.0,2025,9,16.0,13.0,12.0,53.0,3.0,29.0,65.0,94.0,31.333333333333332,9.666666666666666,21.666666666666668,31333.333333333332,0.30851063829787234,0.6914893617021277,0.6666666666666666,0.3333333333333333,0.0,0.2978723404255319,21.01119535917492,9.935944096511218,21.99070443790109,inf,1.0,-75.64766839378238,300.6666666666667,inf,10.444444444444445,99.9692728054874,99.61154273029966,High Spike
2025-09-02,Arunachal Pradesh,East Kameng,2.0,2.0,0.0,2025,9,10.0,16.0,0.0,0.0,4.0,26.0,0.0,26.0,6.5,6.5,0.0,6500.0,1.0,0.0,0.5,0.5,0.0,0.38461538461538464,4.270727161559362,6.650429664630616,-0.07590768706006815,33.33333333333333,2.3333333333333335,-72.34042553191489,168.66666666666666,-79.25531914893618,12.611111111111109,99.2701109488085,95.39400665926749,High Spike
2025-09-06,Arunachal Pradesh,East Kameng,2.0,3.0,0.0,2025,9,0.0,0.0,4.0,40.0,5.0,0.0,44.0,44.0,8.8,0.0,8.8,8800.0,0.0,1.0,0.4,0.6,0.0,0.09090909090909091,5.821186632211005,-0.09352101133482975,8.886531699078002,inf,1.6666666666666667,-29.032258064516125,52.666666666666664,inf,2.9333333333333336,99.53720117803336,96.36514983351832,High Spike
2025-09-07,Arunachal Pradesh,East Kameng,3.0,0.0,0.0,2025,9,0.0,0.0,0.0,17.0,3.0,0.0,17.0,17.0,5.666666666666667,0.0,5.666666666666667,5666.666666666667,0.0,1.0,1.0,0.0,0.0,0.0,3.708966483787028,-0.09352101133482975,5.695360099468235,inf,2.6666666666666665,41.66666666666667,24.333333333333332,inf,4.822222222222223,99.11978405873148,94.92230854605992,High Spike
2025-09-08,Arunachal Pradesh,East Kameng,1.0,0.0,0.0,2025,9,26.0,13.0,0.0,1.0,1.0,39.0,1.0,40.0,40.0,39.0,1.0,40000.0,0.975,0.025,1.0,0.0,0.0,0.65,26.8535064080072,40.37018304445785,0.9425513340919852,inf,1.3333333333333333,471.42857142857144,21.333333333333332,inf,15.222222222222221,99.98558185488255,99.87513873473918,High Spike
2025-09-09,Arunachal Pradesh,East Kameng,3.0,0.0,0.0,2025,9,20.0,7.0,0.0,0.0,3.0,27.0,0.0,27.0,9.0,9.0,0.0,9000.0,1.0,0.0,1.0,0.0,0.0,0.7407407407407407,5.956009194876365,9.244256847694249,-0.07590768706006815,200.0,1.3333333333333333,-32.49999999999999,24.666666666666668,-77.5,16.333333333333332,99.55658294687977,96.51775804661487,High Spike
2025-09-10,Arunachal Pradesh,East Kameng,0.0,1.0,0.0,2025,9,12.0,12.0,9.0,41.0,1.0,24.0,50.0,74.0,74.0,24.0,50.0,74000.0,0.32432432432432434,0.6756756756756757,0.0,1.0,0.0,0.28378378378378377,49.773342061118434,24.80721994607605,50.8470433705426,inf,1.3333333333333333,1133.3333333333335,35.666666666666664,inf,27.666666666666668,99.99669091751403,100.0,High Spike
2025-09-13,Arunachal Pradesh,East Kameng,0.0,1.0,0.0,2025,9,2.0,1.0,2.0,8.0,1.0,3.0,10.0,13.0,13.0,3.0,10.0,13000.0,0.23076923076923078,0.7692307692307693,0.0,1.0,0.0,0.3076923076923077,8.65246044818357,3.01907160834153,10.108682524460466,inf,1.0,-82.1917808219178,28.666666666666668,inf,4.333333333333333,99.78987326214079,98.09933407325194,High Spike
2025-09-16,Arunachal Pradesh,East Kameng,2.0,2.0,0.0,4050,18,53.0,25.0,6.0,72.0,4.0,78.0,78.0,156.0,39.0,19.5,19.5,39000.0,0.5,0.5,0.5,0.5,0.0,0.3782051282051282,26.1793935946804,20.13833101656151,19.78404322540497,inf,1.6666666666666667,102.59740259740258,77.66666666666667,inf,13.0,99.9848727657784,99.83351831298557,High Spike
2025-09-17,Arunachal Pradesh,East Kameng,2.0,2.0,0.0,2025,9,0.0,0.0,14.0,22.0,4.0,0.0,36.0,36.0,9.0,0.0,9.0,9000.0,0.0,1.0,0.5,0.5,0.0,0.3888888888888889,5.956009194876365,-0.09352101133482975,9.090223503308414,0.0,2.6666666666666665,-76.92307692307692,89.66666666666667,-76.92307692307692,16.0,99.55658294687977,96.51775804661487,High Spike
2025-09-18,Arunachal Pradesh,East Kameng,1.0,1.0,0.0,2025,9,21.0,17.0,0.0,0.0,2.0,38.0,0.0,38.0,19.0,19.0,0.0,19000.0,1.0,0.0,0.5,0.5,0.0,0.5526315789473685,12.697137328144374,19.619565579948784,-0.07590768706006815,inf,2.0,31.034482758620683,34.333333333333336,inf,9.333333333333334,99.90852750556634,98.89012208657047,High Spike
2025-09-19,Arunachal Pradesh,East Kameng,1.0,0.0,0.0,2025,9,0.0,0.0,12.0,35.0,1.0,0.0,47.0,47.0,47.0,0.0,47.0,47000.0,0.0,1.0,1.0,0.0,0.0,0.2553191489361702,31.572296101294807,-0.09352101133482975,47.791666307086444,inf,1.0,11.904761904761907,42.333333333333336,inf,22.0,99.99172729378508,99.94450610432852,High Spike
2025-10-13,Arunachal Pradesh,East Kameng,2.0,1.0,0.0,4050,20,0.0,0.0,2.0,14.0,3.0,0.0,16.0,16.0,5.333333333333333,0.0,5.333333333333333,5333.333333333333,0.0,1.0,0.6666666666666666,0.3333333333333333,0.0,0.125,3.484262212678094,-0.09352101133482975,5.355873759084217,-50.0,6.0,inf,5.333333333333333,inf,1.7777777777777777,99.05431149811619,94.78357380688124,High Spike
2025-10-15,Arunachal Pradesh,East Kameng,1.0,3.0,0.0,2025,10,11.0,13.0,10.0,25.0,4.0,24.0,35.0,59.0,14.75,6.0,8.75,14750.0,0.4067796610169492,0.5932203389830508,0.25,0.75,0.0,0.3559322033898305,9.832157871505471,6.13166422801789,8.8356087480204,33.33333333333333,4.333333333333333,268.75,25.0,176.5625,6.694444444444444,99.84447312315933,98.44617092119867,High Spike
2025-10-16,Arunachal Pradesh,East Kameng,2.0,1.0,0.0,2025,10,16.0,13.0,0.0,0.0,3.0,29.0,0.0,29.0,9.666666666666666,9.666666666666666,0.0,9666.666666666666,1.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.5517241379310345,6.405417737094232,9.935944096511218,-0.07590768706006815,-25.0,3.3333333333333335,-50.847457627118644,34.666666666666664,-34.463276836158194,9.916666666666666,99.62040096625209,96.87846836847946,High Spike
2025-10-21,Arunachal Pradesh,East Kameng,0.0,1.0,0.0,2025,10,0.0,0.0,2.0,5.0,1.0,0.0,7.0,7.0,7.0,0.0,7.0,7000.0,0.0,1.0,0.0,1.0,0.0,0.2857142857142857,4.607783568222763,-0.09352101133482975,7.053305461004306,inf,0.6666666666666666,250.0,3.0,inf,2.3333333333333335,99.34645620902056,95.71309655937846,High Spike
2025-10-24,Arunachal Pradesh,East Kameng,1.0,3.0,0.0,2025,10,36.0,11.0,0.0,0.0,4.0,47.0,0.0,47.0,11.75,11.75,0.0,11750.0,1.0,0.0,0.25,0.75,0.0,0.7659574468085106,7.809819431525067,12.097466749064246,-0.07590768706006815,inf,1.3333333333333333,4600.0,17.666666666666668,inf,3.9166666666666665,99.73338249684456,97.7108768035516,High Spike
2025-10-25,Arunachal Pradesh,East Kameng,2.0,3.0,0.0,2025,10,45.0,27.0,0.0,0.0,5.0,72.0,0.0,72.0,14.4,14.4,0.0,14400.0,1.0,0.0,0.4,0.6,0.0,0.625,9.596218386841091,14.846923563111698,-0.07590768706006815,inf,3.0,30.909090909090907,58.0,inf,8.716666666666667,99.83738223211796,98.3906770255272,High Spike
2025-10-26,Arunachal Pradesh,East Kameng,0.0,1.0,0.0,2025,10,15.0,14.0,0.0,0.0,1.0,29.0,0.0,29.0,29.0,29.0,0.0,29000.0,1.0,0.0,0.0,1.0,0.0,0.5172413793103449,19.438265461412385,29.994874312203315,-0.07590768706006815,inf,2.0,7.407407407407418,42.666666666666664,inf,14.466666666666667,99.9595819210642,99.43118756936738,High Spike
2025-11-05,Arunachal Pradesh,East Kameng,0.0,2.0,0.0,2025,11,0.0,0.0,3.0,7.0,2.0,0.0,10.0,10.0,5.0,0.0,5.0,5000.0,0.0,1.0,0.0,1.0,0.0,0.3,3.2595579415691605,-0.09352101133482975,5.0163874187002,inf,0.6666666666666666,-88.50574712643679,38.333333333333336,inf,1.6666666666666667,98.97465715541816,94.40899001109878,High Spike
2025-11-11,Arunachal Pradesh,East Kameng,1.0,1.0,0.0,2025,11,48.0,11.0,0.0,0.0,2.0,59.0,0.0,59.0,29.5,29.5,0.0,29500.0,1.0,0.0,0.5,0.5,0.0,0.8135593220338984,19.775321868075785,30.513639748816043,-0.07590768706006815,inf,0.6666666666666666,-32.18390804597702,49.333333333333336,inf,9.833333333333334,99.96170918837662,99.47280799112099,High Spike
2025-11-13,Arunachal Pradesh,East Kameng,0.0,1.0,0.0,2025,11,11.0,2.0,0.0,0.0,1.0,13.0,0.0,13.0,13.0,13.0,0.0,13000.0,1.0,0.0,0.0,1.0,0.0,0.8461538461538461,8.65246044818357,13.394380340596063,-0.07590768706006815,inf,1.0,-38.095238095238095,11.333333333333334,inf,4.333333333333333,99.78987326214079,98.09933407325194,High Spike
2025-11-15,Arunachal Pradesh,East Kameng,0.0,1.0,0.0,2025,11,7.0,4.0,0.0,0.0,1.0,11.0,0.0,11.0,11.0,11.0,0.0,11000.0,1.0,0.0,0.0,1.0,0.0,0.6363636363636364,7.304234821529967,11.319318594145157,-0.07590768706006815,inf,1.6666666666666667,-38.888888888888886,9.666666666666666,inf,3.6666666666666665,99.70005530895011,97.41953385127637,High Spike
2025-11-16,Arunachal Pradesh,East Kameng,1.0,0.0,0.0,2025,11,0.0,0.0,1.0,6.0,1.0,0.0,7.0,7.0,7.0,0.0,7.0,7000.0,0.0,1.0,1.0,0.0,0.0,0.14285714285714285,4.607783568222763,-0.09352101133482975,7.053305461004306,inf,0.6666666666666666,-30.000000000000004,9.333333333333334,inf,6.0,99.34645620902056,95.71309655937846,High Spike
2025-09-01,Arunachal Pradesh,East Siang,1.0,0.0,0.0,2025,9,6.0,5.0,5.0,14.0,1.0,11.0,19.0,30.0,30.0,11.0,19.0,30000.0,0.36666666666666664,0.6333333333333333,1.0,0.0,0.0,0.36666666666666664,20.112378274739186,11.319318594145157,19.274813714828944,inf,0.3333333333333333,-91.66666666666666,212.66666666666666,inf,10.0,99.96572735996672,99.52830188679245,High Spike
2025-09-10,Arunachal Pradesh,East Siang,3.0,0.0,0.0,2025,9,0.0,0.0,9.0,23.0,3.0,0.0,32.0,32.0,10.666666666666666,0.0,10.666666666666666,10666.666666666666,0.0,1.0,1.0,0.0,0.0,0.28125,7.079530550421032,-0.09352101133482975,10.787655205228502,inf,3.0,-73.98373983739836,59.666666666666664,inf,4.888888888888888,99.68327353348555,97.28079911209767,High Spike
2025-09-15,Arunachal Pradesh,East Siang,1.0,1.0,0.0,4050,18,12.0,7.0,8.0,41.0,2.0,19.0,49.0,68.0,34.0,9.5,24.5,34000.0,0.27941176470588236,0.7205882352941176,0.5,0.5,0.0,0.29411764705882354,22.80882952804639,9.763022284306976,24.87633833116524,inf,0.6666666666666666,2166.666666666667,27.0,inf,11.333333333333334,99.97801823777176,99.70865704772474,High Spike
2025-09-19,Arunachal Pradesh,East Siang,1.0,2.0,0.0,4050,18,5.0,5.0,14.0,35.0,3.0,10.0,49.0,59.0,19.666666666666668,3.3333333333333335,16.333333333333332,19666.666666666668,0.1694915254237288,0.8305084745762712,0.3333333333333333,0.6666666666666666,0.0,0.3220338983050847,13.146545870362242,3.3649152327500147,16.558922991756802,inf,1.6666666666666667,13.461538461538458,37.0,inf,6.555555555555556,99.91301840322589,98.94561598224195,High Spike
2025-10-16,Arunachal Pradesh,East Siang,0.0,1.0,0.0,2025,10,5.0,2.0,0.0,0.0,1.0,7.0,0.0,7.0,7.0,7.0,0.0,7000.0,1.0,0.0,0.0,1.0,0.0,0.7142857142857143,4.607783568222763,7.169195101243343,-0.07590768706006815,inf,1.3333333333333333,-86.0,19.0,inf,2.3333333333333335,99.34645620902056,95.71309655937846,High Spike
2025-10-25,Arunachal Pradesh,East Siang,3.0,2.0,0.0,4050,20,35.0,16.0,0.0,0.0,5.0,51.0,0.0,51.0,10.2,10.2,0.0,10200.0,1.0,0.0,0.6,0.4,0.0,0.6862745098039216,6.764944570868526,10.489293895564792,-0.07590768706006815,inf,1.6666666666666667,-27.142857142857146,46.666666666666664,inf,3.4,99.65963723001433,97.19755826859046,High Spike
2025-10-30,Arunachal Pradesh,East Siang,4.0,4.0,0.0,4050,20,49.0,16.0,0.0,0.0,8.0,65.0,0.0,65.0,8.125,8.125,0.0,8125.0,1.0,0.0,0.5,0.5,0.0,0.7538461538461538,5.366160483215414,8.336417333621979,-0.07590768706006815,inf,4.0,30.000000000000004,42.0,inf,3.625,99.48118313880656,96.25416204217537,High Spike
2025-10-31,Arunachal Pradesh,East Siang,3.0,3.0,0.0,2025,10,0.0,0.0,7.0,25.0,6.0,0.0,32.0,32.0,5.333333333333333,0.0,5.333333333333333,5333.333333333333,0.0,1.0,0.5,0.5,0.0,0.21875,3.484262212678094,-0.09352101133482975,5.355873759084217,-25.0,4.666666666666667,-50.76923076923077,49.0,-34.35897435897436,4.486111111111111,99.05431149811619,94.78357380688124,High Spike
2025-11-05,Arunachal Pradesh,East Siang,1.0,2.0,0.0,4050,22,8.0,2.0,0.0,6.0,3.0,10.0,6.0,16.0,5.333333333333333,3.3333333333333335,2.0,5333.333333333333,0.625,0.375,0.3333333333333333,0.6666666666666666,0.0,0.5,3.484262212678094,3.3649152327500147,1.9610103552440385,inf,1.0,-78.94736842105263,50.333333333333336,inf,1.7777777777777777,99.05431149811619,94.78357380688124,High Spike
2025-11-11,Arunachal Pradesh,East Siang,1.0,2.0,0.0,4050,22,24.0,5.0,0.0,0.0,3.0,29.0,0.0,29.0,9.666666666666666,9.666666666666666,0.0,9666.666666666666,1.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.8275862068965517,6.405417737094232,9.935944096511218,-0.07590768706006815,inf,1.0,-19.444444444444443,35.333333333333336,inf,3.222222222222222,99.62040096625209,96.87846836847946,High Spike
2025-11-12,Arunachal Pradesh,East Siang,0.0,2.0,0.0,4050,22,49.0,8.0,0.0,0.0,2.0,57.0,0.0,57.0,28.5,28.5,0.0,28500.0,1.0,0.0,0.0,1.0,0.0,0.8596491228070176,19.101209054748985,29.47610887559059,-0.07590768706006815,inf,0.6666666666666666,1325.0,31.333333333333332,inf,9.5,99.95674556464765,99.37569367369589,High Spike
2025-11-15,Arunachal Pradesh,East Siang,3.0,3.0,0.0,4050,22,33.0,5.0,2.0,30.0,6.0,38.0,32.0,70.0,11.666666666666666,6.333333333333333,5.333333333333333,11666.666666666666,0.5428571428571428,0.45714285714285713,0.5,0.5,0.0,0.5,7.753643363747834,6.477507852426374,5.355873759084217,inf,3.0,45.83333333333333,39.333333333333336,inf,3.888888888888889,99.73007341435857,97.65538290788012,High Spike
2025-12-28,Arunachal Pradesh,East Siang,1.0,0.0,0.0,2025,12,0.0,1.0,0.0,4.0,1.0,1.0,4.0,5.0,5.0,1.0,4.0,5000.0,0.2,0.8,1.0,0.0,0.0,0.0,3.2595579415691605,0.9440098618906236,3.9979283975481454,inf,0.3333333333333333,-16.666666666666664,18.333333333333332,inf,1.6666666666666667,98.97465715541816,94.40899001109878,High Spike
2025-09-02,Arunachal Pradesh,Kamle,0.0,4.0,0.0,2025,9,0.0,1.0,4.0,24.0,4.0,1.0,28.0,29.0,7.25,0.25,7.0,7250.0,0.034482758620689655,0.9655172413793104,0.0,1.0,0.0,0.13793103448275862,4.776311771554463,0.16586170697153357,7.053305461004306,inf,1.3333333333333333,93.33333333333333,36.666666666666664,inf,2.4166666666666665,99.38805610312991,95.94894561598224,High Spike
2025-11-08,Arunachal Pradesh,Kamle,0.0,1.0,0.0,2025,11,0.0,1.0,0.0,5.0,1.0,1.0,5.0,6.0,6.0,1.0,5.0,6000.0,0.16666666666666666,0.8333333333333334,0.0,1.0,0.0,0.0,3.9336707548959615,0.9440098618906236,5.0163874187002,inf,0.3333333333333333,50.0,5.666666666666667,inf,2.0,99.18454753024265,95.14428412874584,High Spike
2025-11-13,Arunachal Pradesh,Kamle,0.0,1.0,0.0,2025,11,0.0,1.0,0.0,6.0,1.0,1.0,6.0,7.0,7.0,1.0,6.0,7000.0,0.14285714285714285,0.8571428571428571,0.0,1.0,0.0,0.0,4.607783568222763,0.9440098618906236,6.034846439852253,inf,0.3333333333333333,250.0,3.3333333333333335,inf,2.3333333333333335,99.34645620902056,95.71309655937846,High Spike
2025-09-02,Arunachal Pradesh,Kra Daadi,1.0,1.0,0.0,2025,9,4.0,3.0,3.0,5.0,2.0,7.0,8.0,15.0,7.5,3.5,4.0,7500.0,0.4666666666666667,0.5333333333333333,0.5,0.5,0.0,0.4666666666666667,4.944839974886163,3.5378370449542564,3.9979283975481454,-60.0,2.3333333333333335,inf,64.33333333333333,inf,2.5,99.41500148908712,96.01831298557158,High Spike
2025-09-03,Arunachal Pradesh,Kra Daadi,1.0,0.0,0.0,2025,9,1.0,4.0,0.0,6.0,1.0,5.0,6.0,11.0,11.0,5.0,6.0,11000.0,0.45454545454545453,0.5454545454545454,1.0,0.0,0.0,0.09090909090909091,7.304234821529967,5.094133354792437,6.034846439852253,-50.0,2.6666666666666665,-26.66666666666667,8.666666666666666,46.66666666666666,6.166666666666667,99.70005530895011,97.41953385127637,High Spike
2025-09-08,Arunachal Pradesh,Kra Daadi,1.0,1.0,0.0,2025,9,4.0,5.0,3.0,11.0,2.0,9.0,14.0,23.0,11.5,4.5,7.0,11500.0,0.391304347826087,0.6086956521739131,0.5,0.5,0.0,0.30434782608695654,7.641291228193367,4.57536791817971,7.053305461004306,inf,0.6666666666666666,2200.0,10.0,inf,3.8333333333333335,99.72510979062963,97.5860155382908,High Spike
2025-09-15,Arunachal Pradesh,Kra Daadi,0.0,1.0,0.0,2025,9,17.0,2.0,6.0,6.0,1.0,19.0,12.0,31.0,31.0,19.0,12.0,31000.0,0.6129032258064516,0.3870967741935484,0.0,1.0,0.0,0.7419354838709677,20.786491088065986,19.619565579948784,12.145600566764573,inf,1.0,1450.0,11.333333333333334,inf,10.5,99.96809099031384,99.58379578246392,High Spike
2025-09-19,Arunachal Pradesh,Kra Daadi,1.0,2.0,0.0,2025,9,10.0,1.0,1.0,6.0,3.0,11.0,7.0,18.0,6.0,3.6666666666666665,2.3333333333333335,6000.0,0.6111111111111112,0.3888888888888889,0.3333333333333333,0.6666666666666666,0.0,0.6111111111111112,3.9336707548959615,3.7107588571584986,2.300496695628057,inf,1.6666666666666667,100.0,12.0,inf,3.5,99.18454753024265,95.14428412874584,High Spike
2025-10-16,Arunachal Pradesh,Kra Daadi,0.0,1.0,0.0,2025,10,3.0,2.0,2.0,5.0,1.0,5.0,7.0,12.0,12.0,5.0,7.0,12000.0,0.4166666666666667,0.5833333333333334,0.0,1.0,0.0,0.4166666666666667,7.978347634856768,5.094133354792437,7.053305461004306,inf,0.6666666666666666,-25.0,9.333333333333334,inf,4.0,99.74567337464958,97.83573806881243,High Spike
2025-10-17,Arunachal Pradesh,Kra Daadi,0.0,1.0,0.0,2025,10,5.0,2.0,2.0,1.0,1.0,7.0,3.0,10.0,10.0,7.0,3.0,10000.0,0.7,0.3,0.0,1.0,0.0,0.7,6.630122008203166,7.169195101243343,2.979469376396092,0.0,0.6666666666666666,-16.666666666666664,12.666666666666666,-16.666666666666664,7.333333333333333,99.64214636544561,97.07269700332964,High Spike
2025-10-24,Arunachal Pradesh,Kra Daadi,2.0,2.0,0.0,2025,10,9.0,2.0,3.0,6.0,4.0,11.0,9.0,20.0,5.0,2.75,2.25,5000.0,0.55,0.45,0.5,0.5,0.0,0.6,3.2595579415691605,2.7596888900351666,2.215625110532052,inf,1.6666666666666667,1900.0,8.333333333333334,inf,3.0,98.97465715541816,94.40899001109878,High Spike
2025-10-25,Arunachal Pradesh,Kra Daadi,2.0,0.0,0.0,2025,10,9.0,3.0,0.0,0.0,2.0,12.0,0.0,12.0,6.0,6.0,0.0,6000.0,1.0,0.0,1.0,0.0,0.0,0.75,3.9336707548959615,6.13166422801789,-0.07590768706006815,-50.0,2.0,-40.0,11.0,19.999999999999996,3.6666666666666665,99.18454753024265,95.14428412874584,High Spike
